VPN,Category,Producer Name,Product Name,Container,FOB,Volume Amount,Volume Unit,Pack Size,Style,ABV,Country,Coupler,UPC/EAN,COLA,Cases per Layer,Cases per Pallet
16973,BEER,Ridgeway,Lock Keeper's Ale 30L PETainer Keg,PET,$125.00 ,30,L,1,"Malty, hoppy, strong golden ale",,England,A-Type,,,1,1
16198,BEER,Ritterguts,Lichtenhainer SPEZIAL 30L PolyKeg,PET,$185.00 ,30,L,1,"Slightly sour, slightly smoky ale with bergamot an",4.3,Germany,A-Type,,2.207E+13,12,24
13898,BEER,Ritterguts,Lichtenhainer Weisse 30L UniKeg,PET,$180.00 ,30,L,1,"Super-traditional slightly sour, slightly smokey",4.3,Germany,A-Type,,2.207E+13,12,24
10002968,BEER,Ritterguts,Original Gose 30L UniKeg,PET,$180.00 ,30,L,1,OG: Original Gose since 1874,3.9,Germany,A-Type,,2.112E+13,12,24
14857,BEER,Sacrilege,Abricot 6x750ml,,$72.50 ,750,Ml,6,Blend of BA wild ales macerated on fresh apricot,5.4,France,,3.77002E+12,2.2305E+13,14,133
14863,BEER,Sacrilege,Halte 6x750ml -- last 2!,,$55.00 ,750,Ml,6,Lightly dry-hopped foeder grisette w house culture,4.2,France,,3.77002E+12,2.2346E+13,12,84
14859,BEER,Sacrilege,Prune 6x750ml,,$72.50 ,750,Ml,6,Foeder-aged mixed-culture beer w/ fresh plums,5.3,France,,3.77002E+12,2.2342E+13,12,133
14984,BEER,Schneeeule,Hot Irmi 20L KegKeg,PET,$180.00 ,20,L,1,German Berliner Weisse with Habaneros,3,Germany,KeyKeg,,,1,1
13403,BEER,Schneeeule,Irmgard 12/330mL,,$50.00 ,330,Ml,12,German Berliner Weisse with ginger,3.5,Germany,,4.27E+12,,13,78
14887,BEER,Schneeeule,Irmgard 20L KegKeg,PET,$180.00 ,20,L,1,German Berliner Weisse with ginger,3.5,Germany,KeyKeg,,2.2159E+13,20,40
13401,BEER,Schneeeule,Kennedy 12/330mL,,$50.00 ,330,Ml,12,Dry-hopped German Berliner Weisse,3.5,Germany,,4.27E+12,,13,78
14889,BEER,Schneeeule,Kennedy 20L KegKeg,PET,$180.00 ,20,L,1,German dry hopped Berliner Weisse,3.5,Germany,KeyKeg,,2.2159E+13,20,40
13400,BEER,Schneeeule,Marlene 12/330mL,,$50.00 ,330,Ml,12,Authentic German Berliner Weisse,3.5,Germany,,4.27E+12,,13,78
15905,BEER,Schneeeule,Minerva 6/750mL,,$50.00 ,750,Ml,6,Cellar Series berliner w/ cinnamon and gin spices,3.8,Germany,,,,20,120
13402,BEER,Schneeeule,Yasmin 12/330mL,,$50.00 ,330,Ml,12,German Berliner Weisse with jasmine,3.5,Germany,,4.27E+12,,13,78
14888,BEER,Schneeeule,Yasmin 20L KegKeg,PET,$180.00 ,20,L,1,German Berliner Weisse with jasmine,3.5,Germany,KeyKeg,,2.2159E+13,20,40
16989,BEER,Siren,Calypso (Sour Cherry Negroni) 12x440ml,,$46.00 ,440,Ml,12,"Sour w gin-infused oak, black cherries, and orange",4,England,,,,18,162
16987,BEER,Siren,Calypso (Sour Cherry Negroni) 30L KeyKeg,PET,$180.00 ,30,L,1,"Sour w gin-infused oak, black cherries, and orange",4,England,KeyKeg,,,12,24
16990,BEER,Siren,Calypso (Whiskey Sour) 12x440ml,,$46.00 ,440,Ml,12,Sour w bourbon-infused oak and lemon zest/juice,4,England,,,,18,162
